date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,outcome,loser_entry,winner_entry
2012-06-25,Wimbledon,G,5,G,false,80,R16,Roger Federer,3,Switzerland,SUI,3,2,2433,Xavier Malisse,,Belgium,BEL,75,-2,1947,7-6(1) 6-1 4-6 6-3,,,
2012-06-25,Wimbledon,G,5,G,false,80,R32,Roger Federer,3,Switzerland,SUI,3,1,2432,Julien Benneteau,29,France,FRA,32,-2,1988,4-6 6-7(3) 6-2 7-6(6) 6-1,,,
2012-06-25,Wimbledon,G,5,G,false,80,R64,Roger Federer,3,Switzerland,SUI,3,2,2430,Fabio Fognini,,Italy,ITA,68,-1,1929,6-1 6-3 6-2,,,
2012-06-25,Wimbledon,G,5,G,false,80,R128,Roger Federer,3,Switzerland,SUI,3,1,2429,Albert Ramos,,Spain,ESP,43,-1,1877,6-1 6-1 6-1,,,
2012-06-11,Halle,B,3,G,false,89,F,Tommy Haas,,Germany,GER,87,20,1992,Roger Federer,2,Switzerland,SUI,3,-19,2448,7-6(5) 6-4,,,WC
2012-06-11,Halle,B,3,G,false,89,SF,Roger Federer,2,Switzerland,SUI,3,2,2446,Mikhail Youzhny,,Russian Federation,RUS,31,-1,2062,6-1 6-4,,,
2012-06-11,Halle,B,3,G,false,89,QF,Roger Federer,2,Switzerland,SUI,3,1,2445,Milos Raonic,5,Canada,CAN,21,-2,2054,6-7(4) 6-4 7-6(3),,,
2012-06-11,Halle,B,3,G,false,89,R16,Roger Federer,2,Switzerland,SUI,3,1,2444,Florian Mayer,,Germany,GER,29,-1,1963,6-4 7-5,,,
2012-05-27,Roland Garros,G,5,C,false,40,SF,Novak Djokovic,1,Serbia,SRB,1,14,2464,Roger Federer,3,Switzerland,SUI,3,-14,2458,6-4 7-5 6-3,,,
2012-05-27,Roland Garros,G,5,C,false,40,QF,Roger Federer,3,Switzerland,SUI,3,8,2450,Juan Martin Del Potro,9,Argentina,ARG,9,-8,2285,3-6 6-7(4) 6-2 6-0 6-3,,,
2012-05-27,Roland Garros,G,5,C,false,40,R16,Roger Federer,3,Switzerland,SUI,3,,2450,David Goffin,,Belgium,BEL,109,-1,1858,5-7 7-5 6-2 6-4,,LL,
2012-05-27,Roland Garros,G,5,C,false,40,R32,Roger Federer,3,Switzerland,SUI,3,2,2448,Nicolas Mahut,,France,FRA,89,-1,1939,6-3 4-6 6-2 7-5,,,
2012-05-27,Roland Garros,G,5,C,false,40,R64,Roger Federer,3,Switzerland,SUI,3,,2448,Adrian Ungur,,Romania,ROU,92,-1,1779,6-3 6-2 6-7(6) 6-3,,,
2012-05-27,Roland Garros,G,5,C,false,40,R128,Roger Federer,3,Switzerland,SUI,3,1,2447,Tobias Kamke,,Germany,GER,78,,1742,6-2 7-5 6-3,,,
2012-05-13,Rome Masters,M,3,C,false,32,SF,Novak Djokovic,1,Serbia,SRB,1,11,2458,Roger Federer,3,Switzerland,SUI,2,-11,2458,6-2 7-6(4),,,
2012-05-13,Rome Masters,M,3,C,false,32,QF,Roger Federer,3,Switzerland,SUI,2,1,2457,Andreas Seppi,,Italy,ITA,30,-1,1986,6-1 6-2,,,
2012-05-13,Rome Masters,M,3,C,false,32,R16,Roger Federer,3,Switzerland,SUI,2,1,2456,Juan Carlos Ferrero,,Spain,ESP,47,-2,2004,6-2 5-7 6-1,,,
2012-05-13,Rome Masters,M,3,C,false,32,R32,Roger Federer,3,Switzerland,SUI,2,1,2455,Carlos Berlocq,,Argentina,ARG,38,-1,1874,6-3 6-4,,,
2012-05-06,Madrid Masters,M,3,C,false,67,F,Roger Federer,3,Switzerland,SUI,3,6,2449,Tomas Berdych,6,Czech Republic,CZE,7,-6,2250,3-6 7-5 7-5,,,
2012-05-06,Madrid Masters,M,3,C,false,67,SF,Roger Federer,3,Switzerland,SUI,3,3,2446,Janko Tipsarevic,7,Serbia,SRB,8,-3,2126,6-2 6-3,,,
2012-05-06,Madrid Masters,M,3,C,false,67,QF,Roger Federer,3,Switzerland,SUI,3,6,2440,David Ferrer,5,Spain,ESP,6,-5,2270,6-4 6-4,,,
2012-05-06,Madrid Masters,M,3,C,false,67,R16,Roger Federer,3,Switzerland,SUI,3,2,2438,Richard Gasquet,14,France,FRA,18,-2,2087,6-3 6-2,,,
2012-05-06,Madrid Masters,M,3,C,false,67,R32,Roger Federer,3,Switzerland,SUI,3,2,2436,Milos Raonic,,Canada,CAN,23,-3,2069,4-6 7-5 7-6(4),,,
2012-03-21,Miami Masters,M,3,H,false,51,R32,Andy Roddick,31,United States,USA,34,18,2099,Roger Federer,3,Switzerland,SUI,3,-18,2454,7-6(4) 1-6 6-4,,,
2012-03-21,Miami Masters,M,3,H,false,51,R64,Roger Federer,3,Switzerland,SUI,3,1,2453,Ryan Harrison,,United States,USA,73,,1903,6-2 7-6(3),,WC,
2012-03-08,Indian Wells Masters,M,3,H,false,47,F,Roger Federer,3,Switzerland,SUI,3,4,2449,John Isner,11,United States,USA,11,-3,2133,7-6(7) 6-3,,,
2012-03-08,Indian Wells Masters,M,3,H,false,47,SF,Roger Federer,3,Switzerland,SUI,3,9,2440,Rafael Nadal,2,Spain,ESP,2,-10,2401,6-3 6-4,,,
2012-03-08,Indian Wells Masters,M,3,H,false,47,QF,Roger Federer,3,Switzerland,SUI,3,6,2434,Juan Martin Del Potro,9,Argentina,ARG,9,-5,2249,6-3 6-2,,,
2012-03-08,Indian Wells Masters,M,3,H,false,47,R16,Roger Federer,3,Switzerland,SUI,3,,2434,Thomaz Bellucci,,Brazil,BRA,50,-1,1892,3-6 6-3 6-4,,,
2012-03-08,Indian Wells Masters,M,3,H,false,47,R32,Roger Federer,3,Switzerland,SUI,3,2,2432,Milos Raonic,27,Canada,CAN,27,-2,2039,6-7(4) 6-2 6-4,,,
2012-03-08,Indian Wells Masters,M,3,H,false,47,R64,Roger Federer,3,Switzerland,SUI,3,1,2431,Denis Kudla,,United States,USA,185,-1,1716,6-4 6-1,,WC,
2012-02-27,Dubai,A,3,H,false,69,F,Roger Federer,2,Switzerland,SUI,3,9,2422,Andy Murray,3,United Kingdom,GBR,4,-9,2369,7-5 6-4,,,
2012-02-27,Dubai,A,3,H,false,69,SF,Roger Federer,2,Switzerland,SUI,3,5,2417,Juan Martin Del Potro,8,Argentina,ARG,10,-5,2245,7-6(5) 7-6(6),,,
2012-02-27,Dubai,A,3,H,false,69,QF,Roger Federer,2,Switzerland,SUI,3,2,2415,Mikhail Youzhny,,Russian Federation,RUS,34,-2,2046,6-3 6-4,,,
2012-02-27,Dubai,A,3,H,false,69,R16,Roger Federer,2,Switzerland,SUI,3,2,2413,Feliciano Lopez,,Spain,ESP,15,-2,2053,7-5 6-3,,,
2012-02-27,Dubai,A,3,H,false,69,R32,Roger Federer,2,Switzerland,SUI,3,1,2412,Michael Llodra,,France,FRA,40,-2,1979,6-0 7-6(6),,,
2012-02-13,Rotterdam,A,3,H,true,54,F,Roger Federer,1,Switzerland,SUI,3,6,2406,Juan Martin Del Potro,3,Argentina,ARG,10,-6,2214,6-1 6-4,,,
2012-02-13,Rotterdam,A,3,H,true,54,SF,Roger Federer,1,Switzerland,SUI,3,1,2405,Nikolay Davydenko,,Russian Federation,RUS,49,-2,1999,4-6 6-3 6-4,,,
2012-02-13,Rotterdam,A,3,H,true,54,QF,Roger Federer,1,Switzerland,SUI,3,2,2403,Jarkko Nieminen,,Finland,FIN,46,-2,1992,7-5 7-6(2),,,
2012-02-13,Rotterdam,A,3,H,true,54,R16,Roger Federer,1,Switzerland,SUI,3,1,2402,Mikhail Youzhny,,Russian Federation,RUS,31,-1,2025,W/O,W/O,,
2012-02-13,Rotterdam,A,3,H,true,54,R32,Roger Federer,1,Switzerland,SUI,3,1,2401,Nicolas Mahut,,France,FRA,83,-1,1905,6-4 6-4,,,
2012-02-10,Davis Cup WG,D,5,C,false,,R16,John Isner,,United States,USA,17,16,2075,Roger Federer,,Switzerland,SUI,3,-16,2417,4-6 6-3 7-6(4) 6-2,,,
2012-01-16,Australian Open,G,5,H,false,46,SF,Rafael Nadal,2,Spain,ESP,2,16,2391,Roger Federer,3,Switzerland,SUI,3,-16,2433,6-7(5) 6-2 7-6(5) 6-4,,,
2012-01-16,Australian Open,G,5,H,false,46,QF,Roger Federer,3,Switzerland,SUI,3,6,2427,Juan Martin Del Potro,11,Argentina,ARG,11,-6,2201,6-4 6-3 6-2,,,
2012-01-16,Australian Open,G,5,H,false,46,R16,Roger Federer,3,Switzerland,SUI,3,2,2425,Bernard Tomic,,Australia,AUS,38,-2,1989,6-4 6-2 6-2,,,
2012-01-16,Australian Open,G,5,H,false,46,R32,Roger Federer,3,Switzerland,SUI,3,1,2424,Ivo Karlovic,,Croatia,CRO,57,-2,1972,7-6(6) 7-5 6-3,,,
2012-01-16,Australian Open,G,5,H,false,46,R64,Roger Federer,3,Switzerland,SUI,3,1,2423,Andreas Beck,,Germany,GER,93,-1,1792,W/O,W/O,,
2012-01-16,Australian Open,G,5,H,false,46,R128,Roger Federer,3,Switzerland,SUI,3,,2423,Alexander Kudryavtsev,,Russian Federation,RUS,172,-1,1676,7-5 6-2 6-2,,Q,
2012-01-02,Doha,B,3,H,false,43,SF,Jo Wilfried Tsonga,3,France,FRA,6,7,2230,Roger Federer,2,Switzerland,SUI,3,-7,2430,W/O,W/O,,
2012-01-02,Doha,B,3,H,false,43,QF,Roger Federer,2,Switzerland,SUI,3,1,2429,Andreas Seppi,8,Italy,ITA,38,-1,1948,6-3 5-7 6-4,,,
2012-01-02,Doha,B,3,H,false,43,R16,Roger Federer,2,Switzerland,SUI,3,1,2428,Grega Zemlja,,Slovenia,SLO,116,-1,1804,6-2 6-3,,Q,
2012-01-02,Doha,B,3,H,false,43,R32,Roger Federer,2,Switzerland,SUI,3,1,2427,Nikolay Davydenko,,Russian Federation,RUS,41,-1,1994,6-2 6-2,,,
2011-11-20,Tour Finals,F,3,H,true,67,F,Roger Federer,,Switzerland,SUI,4,6,2421,Jo Wilfried Tsonga,,France,FRA,6,-7,2233,6-3 6-7(6) 6-3,,,
2011-11-20,Tour Finals,F,3,H,true,67,SF,Roger Federer,,Switzerland,SUI,4,6,2415,David Ferrer,,Spain,ESP,5,-6,2226,7-5 6-3,,,
2011-11-20,Tour Finals,F,3,H,true,67,RR,Roger Federer,,Switzerland,SUI,4,6,2409,Jo Wilfried Tsonga,,France,FRA,6,-6,2228,6-2 2-6 6-4,,,
2011-11-20,Tour Finals,F,3,H,true,67,RR,Roger Federer,,Switzerland,SUI,4,3,2406,Mardy Fish,,United States,USA,8,-4,2121,6-1 3-6 6-3,,,
2011-11-20,Tour Finals,F,3,H,true,67,RR,Roger Federer,,Switzerland,SUI,4,12,2394,Rafael Nadal,,Spain,ESP,2,-11,2408,6-3 6-0,,,
2011-11-07,Paris Masters,M,3,H,true,60,F,Roger Federer,3,Switzerland,SUI,4,6,2388,Jo Wilfried Tsonga,6,France,FRA,8,-7,2210,6-1 7-6(3),,,
2011-11-07,Paris Masters,M,3,H,true,60,SF,Roger Federer,3,Switzerland,SUI,4,5,2383,Tomas Berdych,5,Czech Republic,CZE,7,-5,2165,6-4 6-3,,,
2011-11-07,Paris Masters,M,3,H,true,60,QF,Roger Federer,3,Switzerland,SUI,4,3,2380,Juan Monaco,,Argentina,ARG,34,-2,2036,6-3 7-5,,,
2011-11-07,Paris Masters,M,3,H,true,60,R16,Roger Federer,3,Switzerland,SUI,4,3,2377,Richard Gasquet,16,France,FRA,20,-4,2097,6-2 6-4,,,
2011-11-07,Paris Masters,M,3,H,true,60,R32,Roger Federer,3,Switzerland,SUI,4,1,2376,Adrian Mannarino,,France,FRA,85,-1,1821,6-2 6-3,,WC,
2011-10-31,Basel,A,3,H,true,62,F,Roger Federer,3,Switzerland,SUI,4,2,2374,Kei Nishikori,,Japan,JPN,32,-2,2021,6-1 6-3,,WC,
2011-10-31,Basel,A,3,H,true,62,SF,Roger Federer,3,Switzerland,SUI,4,3,2371,Stan Wawrinka,,Switzerland,SUI,19,-3,2077,7-6(5) 6-2,,,
2011-10-31,Basel,A,3,H,true,62,QF,Roger Federer,3,Switzerland,SUI,4,4,2367,Andy Roddick,7,United States,USA,15,-4,2142,6-3 6-2,,,
2011-10-31,Basel,A,3,H,true,62,R16,Roger Federer,3,Switzerland,SUI,4,2,2365,Jarkko Nieminen,,Finland,FIN,66,-2,1952,6-1 4-6 6-3,,,
2011-10-31,Basel,A,3,H,true,62,R32,Roger Federer,3,Switzerland,SUI,4,1,2364,Potito Starace,,Italy,ITA,54,-1,1870,7-6(3) 6-4,,,
2011-09-16,Davis Cup WG,D,5,G,false,,RR,Roger Federer,,Switzerland,SUI,3,2,2363,Bernard Tomic,,Australia,AUS,59,-1,1896,6-2 7-5 3-6 6-3,,,
2011-09-16,Davis Cup WG,D,5,G,false,,RR,Roger Federer,,Switzerland,SUI,3,2,2361,Lleyton Hewitt,,Australia,AUS,199,-2,2009,5-7 7-6(5) 6-2 6-3,,,
2011-08-29,US Open,G,5,H,false,49,SF,Novak Djokovic,1,Serbia,SRB,1,10,2500,Roger Federer,3,Switzerland,SUI,3,-9,2370,6-7(7) 4-6 6-3 6-2 7-5,,,
2011-08-29,US Open,G,5,H,false,49,QF,Roger Federer,3,Switzerland,SUI,3,7,2363,Jo Wilfried Tsonga,11,France,FRA,11,-7,2198,6-4 6-3 6-3,,,
2011-08-29,US Open,G,5,H,false,49,R16,Roger Federer,3,Switzerland,SUI,3,3,2360,Juan Monaco,,Argentina,ARG,36,-3,1999,6-1 6-2 6-0,,,
2011-08-29,US Open,G,5,H,false,49,R32,Roger Federer,3,Switzerland,SUI,3,4,2356,Marin Cilic,27,Croatia,CRO,28,-4,2078,6-3 4-6 6-4 6-2,,,
2011-08-29,US Open,G,5,H,false,49,R64,Roger Federer,3,Switzerland,SUI,3,1,2355,Dudi Sela,,Israel,ISR,93,-2,1830,6-3 6-2 6-2,,,
2011-08-29,US Open,G,5,H,false,49,R128,Roger Federer,3,Switzerland,SUI,3,2,2353,Santiago Giraldo,,Colombia,COL,54,-2,1896,6-4 6-3 6-2,,,
2011-08-14,Cincinnati Masters,M,3,H,false,68,QF,Tomas Berdych,8,Czech Republic,CZE,9,17,2100,Roger Federer,3,Switzerland,SUI,3,-17,2370,6-2 7-6(3),,,
2011-08-14,Cincinnati Masters,M,3,H,false,68,R16,Roger Federer,3,Switzerland,SUI,3,2,2368,James Blake,,United States,USA,84,-2,1953,6-4 6-1,,WC,
2011-08-14,Cincinnati Masters,M,3,H,false,68,R32,Roger Federer,3,Switzerland,SUI,3,6,2362,Juan Martin Del Potro,,Argentina,ARG,19,-7,2232,6-3 7-5,,,
2011-08-08,Canada Masters,M,3,H,false,62,R16,Jo Wilfried Tsonga,13,France,FRA,16,15,2161,Roger Federer,3,Switzerland,SUI,3,-15,2377,7-6(3) 4-6 6-1,,,
2011-08-08,Canada Masters,M,3,H,false,62,R32,Roger Federer,3,Switzerland,SUI,3,,2377,Vasek Pospisil,,Canada,CAN,155,-1,1692,7-5 6-3,,WC,
2011-07-08,Davis Cup G1,D,5,H,false,,RR,Roger Federer,,Switzerland,SUI,3,,2377,Rui Machado,,Portugal,POR,93,-1,1734,5-7 6-3 6-4 6-2,,,
2011-06-20,Wimbledon,G,5,G,false,80,QF,Jo Wilfried Tsonga,12,France,FRA,19,23,2129,Roger Federer,3,Switzerland,SUI,3,-22,2399,3-6 6-7(3) 6-4 6-4 6-4,,,
2011-06-20,Wimbledon,G,5,G,false,80,R16,Roger Federer,3,Switzerland,SUI,3,3,2396,Mikhail Youzhny,18,Russian Federation,RUS,17,-3,2041,6-7(5) 6-3 6-3 6-3,,,
2011-06-20,Wimbledon,G,5,G,false,80,R32,Roger Federer,3,Switzerland,SUI,3,5,2391,David Nalbandian,28,Argentina,ARG,23,-5,2130,6-4 6-2 6-4,,,
2011-06-20,Wimbledon,G,5,G,false,80,R64,Roger Federer,3,Switzerland,SUI,3,,2391,Adrian Mannarino,,France,FRA,55,-1,1829,6-2 6-3 6-2,,,
2011-06-20,Wimbledon,G,5,G,false,80,R128,Roger Federer,3,Switzerland,SUI,3,2,2389,Mikhail Kukushkin,,Kazakhstan,KAZ,61,-2,1864,7-6(2) 6-4 6-2,,,
2011-05-22,Roland Garros,G,5,C,false,46,F,Rafael Nadal,1,Spain,ESP,1,15,2440,Roger Federer,3,Switzerland,SUI,3,-15,2404,7-5 7-6(3) 5-7 6-1,,,
2011-05-22,Roland Garros,G,5,C,false,46,SF,Roger Federer,3,Switzerland,SUI,3,19,2385,Novak Djokovic,2,Serbia,SRB,2,-19,2492,7-6(5) 6-3 3-6 7-6(5),,,
2011-05-22,Roland Garros,G,5,C,false,46,QF,Roger Federer,3,Switzerland,SUI,3,6,2379,Gael Monfils,9,France,FRA,9,-7,2161,6-4 6-3 7-6(3),,,
2011-05-22,Roland Garros,G,5,C,false,46,R16,Roger Federer,3,Switzerland,SUI,3,5,2374,Stan Wawrinka,14,Switzerland,SUI,14,-5,2132,6-3 6-2 7-5,,,
2011-05-22,Roland Garros,G,5,C,false,46,R32,Roger Federer,3,Switzerland,SUI,3,3,2371,Janko Tipsarevic,29,Serbia,SRB,32,-3,1998,6-1 6-4 6-3,,,
2011-05-22,Roland Garros,G,5,C,false,46,R64,Roger Federer,3,Switzerland,SUI,3,,2371,Maxime Teixeira,,France,FRA,181,-1,1757,6-3 6-0 6-2,,WC,
2011-05-22,Roland Garros,G,5,C,false,46,R128,Roger Federer,3,Switzerland,SUI,3,3,2368,Feliciano Lopez,,Spain,ESP,41,-3,2009,6-3 6-4 7-6(3),,,
2011-05-08,Rome Masters,M,3,C,false,38,R16,Richard Gasquet,16,France,FRA,16,18,2059,Roger Federer,3,Switzerland,SUI,3,-17,2385,4-6 7-6(2) 7-6(4),,,
2011-05-08,Rome Masters,M,3,C,false,38,R32,Roger Federer,3,Switzerland,SUI,3,3,2382,Jo Wilfried Tsonga,,France,FRA,18,-3,2087,6-4 6-2,,,
2011-05-01,Madrid Masters,M,3,C,false,53,SF,Rafael Nadal,1,Spain,ESP,1,10,2425,Roger Federer,3,Switzerland,SUI,3,-10,2392,5-7 6-1 6-3,,,
2011-05-01,Madrid Masters,M,3,C,false,53,QF,Roger Federer,3,Switzerland,SUI,3,6,2386,Robin Soderling,5,Sweden,SWE,5,-6,2236,7-6(2) 6-4,,,
2011-05-01,Madrid Masters,M,3,C,false,53,R16,Roger Federer,3,Switzerland,SUI,3,2,2384,Xavier Malisse,,Belgium,BEL,49,-2,1923,6-4 6-3,,,
2011-05-01,Madrid Masters,M,3,C,false,53,R32,Roger Federer,3,Switzerland,SUI,3,1,2383,Feliciano Lopez,,Spain,ESP,39,-2,1991,7-6(13) 6-7(1) 7-6(7),,,
2011-04-10,Monte Carlo Masters,M,3,C,false,15,QF,Jurgen Melzer,7,Austria,AUT,9,19,2083,Roger Federer,2,Switzerland,SUI,3,-17,2400,6-4 6-4,,,
2011-04-10,Monte Carlo Masters,M,3,C,false,15,R16,Roger Federer,2,Switzerland,SUI,3,2,2398,Marin Cilic,15,Croatia,CRO,22,-3,2070,6-4 6-3,,,
